id;total_personas;personas15_65;personas65;padron;long;lat;urbano
477;68;52;6;58;-70,76498819;-33,50748366;1
478;99;62;24;86;-70,7410781;-33,50769203;1
479;80;59;9;68;-70,76648553;-33,50730642;1
480;92;72;4;76;-70,7923938;-33,50713436;1
481;112;73;15;88;-70,76795144;-33,50755427;1
482;80;58;6;64;-70,7909741;-33,50699614;1
483;265;196;20;216;-70,78805714;-33,5075583;1
484;197;157;7;164;-70,79266441;-33,50758405;1
485;215;147;7;154;-70,7836703;-33,50802018;1
486;240;180;17;197;-70,78727757;-33,5074369;1
487;146;114;11;125;-70,78935127;-33,50717438;1
488;288;166;85;251;-70,74647355;-33,50788695;1
489;205;148;13;161;-70,79665966;-33,50733752;1
490;47;35;9;44;-70,75180095;-33,50798208;1
491;19;14;5;19;-70,73949136;-33,50827645;0
492;218;171;13;184;-70,79392457;-33,50735479;1
493;117;85;11;96;-70,78081933;-33,50770333;1
494;297;214;18;232;-70,78485418;-33,50739246;1
495;205;133;42;175;-70,75116092;-33,50923992;1
496;69;56;0;56;-70,79094948;-33,50726822;1
497;58;36;12;48;-70,75049834;-33,50805569;1
498;50;37;0;37;-70,7664773;-33,50774632;1
499;160;128;6;134;-70,78934108;-33,50744543;1
500;215;153;19;172;-70,77682842;-33,50777583;1
501;53;40;8;48;-70,75257669;-33,508406;1
502;148;108;16;124;-70,78262097;-33,5077605;1
503;161;122;13;135;-70,79378606;-33,5076891;1
504;37;22;11;33;-70,74393865;-33,50836139;1
505;60;39;14;53;-70,74300717;-33,5084008;1
506;88;63;0;63;-70,7909542;-33,5075399;1
507;57;39;10;49;-70,75810382;-33,5084061;1
508;236;175;14;189;-70,79655679;-33,50772732;1
509;115;81;18;99;-70,76043083;-33,50846261;1
510;55;27;17;44;-70,74542067;-33,50854235;1
511;638;443;35;478;-70,79865776;-33,51272482;1
512;113;80;8;88;-70,79485319;-33,50781244;1
513;155;118;8;126;-70,78934906;-33,50771797;1
514;52;31;12;43;-70,74633459;-33,50858734;1
515;116;75;30;105;-70,76512956;-33,5084959;1
516;154;109;13;122;-70,77779603;-33,50834457;1
517;113;80;0;80;-70,79526177;-33,50792967;1
518;295;228;13;241;-70,78689041;-33,50803358;1
519;92;55;27;82;-70,76645313;-33,50883756;1
520;146;108;14;122;-70,78138043;-33,50827005;1
521;161;115;15;130;-70,77734085;-33,50846525;1
522;207;155;9;164;-70,79365405;-33,50802756;1
523;96;64;15;79;-70,76813227;-33,50860602;1
524;100;55;23;78;-70,78300244;-33,50836139;1
525;11;9;0;9;-70,79775131;-33,50786296;0
526;174;134;19;153;-70,77639453;-33,50824926;1
527;239;180;18;198;-70,79642105;-33,50805256;1
528;61;40;0;40;-70,78264296;-33,50841207;1
529;94;55;32;87;-70,75190577;-33,50905787;1
530;34;24;0;24;-70,75054527;-33,50871759;1
531;75;48;15;63;-70,74977023;-33,50875529;1
532;53;42;0;42;-70,79146549;-33,50810475;1
533;246;173;19;192;-70,79133274;-33,50838441;1
534;183;149;7;156;-70,7894197;-33,50824023;1
535;225;169;12;181;-70,79350959;-33,50838736;1
536;92;74;6;80;-70,79786205;-33,50820469;1
537;133;100;14;114;-70,74204277;-33,50952937;1
538;384;226;95;321;-70,74473627;-33,50915796;1
539;142;110;7;117;-70,78502247;-33,5083513;1
540;220;174;8;182;-70,79629366;-33,50838064;1
541;140;93;21;114;-70,7764325;-33,50860344;1
542;98;66;17;83;-70,77997288;-33,50870376;1
543;205;154;18;172;-70,78737003;-33,5084721;1
544;57;38;12;50;-70,74258101;-33,50925169;1
545;94;60;12;72;-70,74051586;-33,50954765;1
546;128;93;10;103;-70,78134886;-33,50880615;1
547;149;100;13;113;-70,7979109;-33,50856677;1
548;145;109;14;123;-70,78532394;-33,50869246;1
549;115;80;9;89;-70,78923377;-33,50864391;1
550;42;26;0;26;-70,75060159;-33,50925608;1
551;99;72;17;89;-70,75286354;-33,50966143;1
552;45;31;8;39;-70,74987958;-33,50928963;1
553;99;71;5;76;-70,78796642;-33,50877896;1
554;0;0;0;0;-70,79279262;-33,50878303;0
555;0;0;0;0;-70,7581245;-33,50982617;0
556;96;71;7;78;-70,78684985;-33,50889903;1
557;112;89;5;94;-70,79629945;-33,50896851;1
558;139;98;20;118;-70,77994625;-33,50920814;1
559;12;8;0;8;-70,76256988;-33,50985656;0
560;75;43;22;65;-70,770934;-33,50948864;1
561;66;48;5;53;-70,7935367;-33,50895193;1
562;124;82;27;109;-70,76953484;-33,50980274;1
563;109;81;0;81;-70,7972017;-33,50909713;1
564;151;109;12;121;-70,78538144;-33,50904569;1
565;161;118;4;122;-70,79079149;-33,50928529;1
566;32;19;9;28;-70,77140617;-33,50931249;1
567;160;106;17;123;-70,78133389;-33,50926077;1
568;59;44;7;51;-70,78222349;-33,50931646;1
569;119;85;9;94;-70,78366715;-33,50907082;1
570;82;66;7;73;-70,78980174;-33,50899505;1
571;107;86;0;86;-70,79670477;-33,50908472;1
572;18;13;0;13;-70,76527178;-33,50946253;0
573;75;52;0;52;-70,7825989;-33,50932551;1
574;392;301;15;316;-70,79133353;-33,50928209;1
575;30;17;9;26;-70,77191798;-33,50934741;1
576;192;136;8;144;-70,78331053;-33,50955784;1
577;116;94;4;98;-70,7938593;-33,50922807;1
578;97;74;7;81;-70,79257778;-33,50936606;1
579;117;81;14;95;-70,74472412;-33,50997786;1
580;103;80;5;85;-70,79811327;-33,50900227;1
581;110;76;22;98;-70,72480885;-33,50975308;1
582;100;74;11;85;-70,78867777;-33,50910991;1
583;62;40;13;53;-70,77273329;-33,50958668;1
584;72;47;7;54;-70,77761303;-33,50948495;1
585;50;37;0;37;-70,79298458;-33,50909547;1
586;151;94;40;134;-70,76765512;-33,50998273;1
587;160;123;4;127;-70,79421683;-33,50940703;1
588;18;0;0;0;-70,77712707;-33,50955671;0
589;0;0;0;0;-70,78786215;-33,50942994;0
590;39;32;0;32;-70,77391157;-33,50966678;1
591;96;66;10;76;-70,72784415;-33,51021224;1
592;79;54;6;60;-70,78737566;-33,50948191;1
593;159;114;10;124;-70,79463167;-33,50952222;1
594;58;40;11;51;-70,77452163;-33,50970501;1
595;40;30;7;37;-70,77672658;-33,50959336;1
596;84;56;9;65;-70,786985;-33,50952778;1
597;26;15;8;23;-70,77516574;-33,50973956;1
598;101;72;7;79;-70,78659522;-33,50956734;1
599;91;58;23;81;-70,72943006;-33,51051604;1
600;138;103;12;115;-70,77993611;-33,50966142;1
601;153;119;6;125;-70,79804538;-33,50933505;1
602;87;62;4;66;-70,78984876;-33,50933291;1
603;63;46;0;46;-70,77606137;-33,50962813;1
604;148;111;14;125;-70,7854332;-33,50946737;1
605;211;160;10;170;-70,79585199;-33,50947481;1
606;82;65;4;69;-70,78131535;-33,50970636;1
607;43;34;4;38;-70,79317663;-33,50941357;1
608;71;50;5;55;-70,78872597;-33,50962257;1
609;82;54;20;74;-70,73021705;-33,51080581;1
610;110;71;14;85;-70,82513607;-33,50949274;1
611;106;71;22;93;-70,7310045;-33,51072662;1
612;99;66;24;90;-70,73173066;-33,51071277;1
613;80;42;21;63;-70,73238208;-33,51067418;1
614;91;57;23;80;-70,73302842;-33,5106551;1
615;24;11;0;11;-70,77181326;-33,5098176;0
616;94;69;11;80;-70,82591515;-33,50952712;1
617;108;78;10;88;-70,73370118;-33,51061452;1
618;27;16;8;24;-70,77228062;-33,50984519;1
619;84;56;8;64;-70,78416015;-33,50986887;1
620;112;80;16;96;-70,72905464;-33,51096824;1
621;20;16;0;16;-70,72337497;-33,51138629;0
622;102;71;17;88;-70,73523711;-33,51058208;1
623;138;106;4;110;-70,7979868;-33,50967655;1
624;92;64;16;80;-70,73648284;-33,51052718;1
625;219;166;9;175;-70,79571899;-33,50980244;1
626;101;66;16;82;-70,82671017;-33,50972356;1
627;154;114;12;126;-70,78549987;-33,50982157;1
628;225;177;8;185;-70,79380889;-33,51023719;1
629;50;34;0;34;-70,72761353;-33,51076134;1
630;91;59;11;70;-70,8242849;-33,5096195;1
631;131;98;10;108;-70,77991217;-33,51010496;1
632;101;60;14;74;-70,82748985;-33,50976879;1
633;197;133;26;159;-70,77675517;-33,51006953;1
634;778;572;38;610;-70,78260646;-33,51033419;1
635;154;117;12;129;-70,78130637;-33,51017745;1
636;118;82;7;89;-70,79679185;-33,51010677;1
637;163;116;32;148;-70,76960718;-33,5108397;1
638;239;144;58;202;-70,7716732;-33,51076474;1
639;104;78;0;78;-70,79083997;-33,5103504;1
640;126;99;0;99;-70,79717966;-33,51021414;1
641;101;69;8;77;-70,78788223;-33,51003361;1
642;175;132;12;144;-70,78989246;-33,51004367;1
643;76;41;22;63;-70,77263936;-33,51073155;1
644;126;87;5;92;-70,79125539;-33,51038372;1
645;123;90;9;99;-70,79165232;-33,51041683;1
646;658;492;39;531;-70,79545468;-33,51072093;1
